GiftId,TripId
1,1
2,702
3,1379
4,64
5,256
6,200
7,1379
8,138
9,1352
10,64
11,1379
12,547
13,1172
14,838
15,1143
16,1237
17,1123
18,1172
19,1280
20,1123
21,1280
22,886
23,1237
24,1379
25,946
26,365
27,1379
28,646
29,785
30,365
31,646
32,1172
33,138
34,1054
35,785
36,1069
37,200
38,1
39,365
40,622
41,1379
42,886
43,499
44,200
45,457
46,946
47,1069
48,1379
49,138
50,525
51,702
52,886
53,1280
54,64
55,995
56,138
57,785
58,64
59,499
60,525
61,1379
62,702
63,1237
64,946
65,1280
66,547
67,702
68,1069
69,1172
70,886
71,1237
72,138
73,1352
74,365
75,287
76,1054
77,1379
78,1069
79,1280
80,256
81,995
82,64
83,64
84,547
85,622
86,64
87,457
88,785
89,547
90,1143
91,138
92,457
93,200
94,457
95,138
96,946
97,365
98,995
99,622
100,1172
101,365
102,785
103,499
104,1123
105,138
106,1379
107,287
108,256
109,138
110,886
111,64
112,785
113,838
114,138
115,646
116,995
117,838
118,886
119,365
120,1
121,547
122,200
123,525
124,1069
125,646
126,1379
127,702
128,886
129,838
130,64
131,1172
132,995
133,1237
134,1172
135,622
136,622
137,1143
138,1172
139,1237
140,1
141,1069
142,1352
143,200
144,785
145,1069
146,200
147,1069
148,785
149,702
150,256
151,547
152,886
153,1054
154,64
155,702
156,287
157,287
158,64
159,886
160,946
161,457
162,1280
163,1069
164,1280
165,365
166,1172
167,64
168,1143
169,200
170,547
171,64
172,547
173,1
174,1069
175,525
176,1280
177,838
178,138
179,1
180,646
181,1379
182,995
183,499
184,1379
185,1352
186,365
187,1280
188,622
189,946
190,946
191,1237
192,1237
193,946
194,64
195,547
196,886
197,1280
198,622
199,525
200,200
201,1280
202,1054
203,673
204,1
205,1143
206,547
207,1237
208,365
209,365
210,525
211,457
212,1280
213,138
214,64
215,365
216,1379
217,1
218,1237
219,1352
220,673
221,1143
222,365
223,287
224,838
225,1069
226,946
227,365
228,1237
229,785
230,365
231,886
232,1379
233,499
234,256
235,1069
236,138
237,946
238,547
239,886
240,785
241,547
242,138
243,1172
244,200
245,64
246,1123
247,886
248,995
249,365
250,457
251,702
252,1172
253,64
254,64
255,138
256,1280
257,525
258,1379
259,525
260,1379
261,673
262,200
263,1379
264,547
265,525
266,1069
267,547
268,995
269,1069
270,995
271,646
272,622
273,64
274,365
275,1069
276,946
277,838
278,1379
279,1
280,287
281,64
282,64
283,622
284,1172
285,785
286,1069
287,1379
288,64
289,1
290,64
291,622
292,785
293,1280
294,886
295,1379
296,138
297,287
298,946
299,1352
300,1
301,287
302,1280
303,256
304,1069
305,886
306,1237
307,646
308,886
309,702
310,64
311,838
312,702
313,1379
314,1172
315,1280
316,1352
317,256
318,1054
319,1143
320,1069
321,702
322,785
323,365
324,785
325,1379
326,256
327,1
328,457
329,1069
330,886
331,287
332,1
333,365
334,1379
335,673
336,1172
337,287
338,200
339,702
340,1054
341,64
342,1172
343,499
344,457
345,1280
346,138
347,200
348,1280
349,702
350,64
351,64
352,886
353,499
354,1379
355,525
356,1379
357,287
358,1280
359,1352
360,995
361,457
362,287
363,1280
364,785
365,200
366,287
367,547
368,886
369,702
370,886
371,200
372,457
373,547
374,525
375,138
376,702
377,1280
378,1280
379,1237
380,200
381,886
382,499
383,64
384,886
385,64
386,64
387,886
388,287
389,702
390,499
391,646
392,64
393,287
394,1172
395,200
396,1280
397,1172
398,256
399,138
400,256
401,673
402,256
403,138
404,673
405,439
406,547
407,702
408,138
409,1069
410,1069
411,200
412,499
413,946
414,946
415,547
416,365
417,547
418,1172
419,1123
420,365
421,287
422,995
423,995
424,1
425,1352
426,1
427,64
428,946
429,457
430,1123
431,702
432,1123
433,1172
434,622
435,1352
436,287
437,1054
438,439
439,1
440,995
441,138
442,457
443,200
444,946
445,64
446,547
447,1123
448,886
449,1172
450,946
451,200
452,1
453,64
454,547
455,1379
456,946
457,622
458,1172
459,547
460,200
461,499
462,946
463,785
464,1
465,886
466,1172
467,287
468,138
469,838
470,1237
471,886
472,457
473,702
474,1172
475,838
476,1
477,138
478,886
479,1280
480,525
481,785
482,1280
483,838
484,702
485,365
486,995
487,702
488,138
489,886
490,946
491,439
492,646
493,886
494,1172
495,838
496,886
497,287
498,946
499,547
500,200
501,1069
502,200
503,1143
504,138
505,838
506,1352
507,1237
508,499
509,138
510,547
511,1069
512,200
513,1280
514,702
515,995
516,646
517,785
518,785
519,287
520,1123
521,547
522,1
523,1054
524,365
525,1069
526,1280
527,1069
528,838
529,785
530,64
531,200
532,622
533,673
534,1379
535,287
536,1143
537,1379
538,365
539,622
540,200
541,946
542,138
543,1
544,287
545,287
546,256
547,547
548,1280
549,525
550,200
551,1280
552,1280
553,200
554,64
555,785
556,1123
557,138
558,256
559,995
560,457
561,439
562,785
563,365
564,702
565,1123
566,995
567,886
568,995
569,439
570,1054
571,995
572,365
573,1069
574,547
575,838
576,1
577,200
578,1143
579,1143
580,1379
581,439
582,365
583,886
584,995
585,287
586,365
587,457
588,886
589,1
590,365
591,1280
592,702
593,995
594,457
595,64
596,995
597,785
598,439
599,499
600,646
601,64
602,702
603,1
604,785
605,785
606,1379
607,886
608,838
609,1280
610,547
611,838
612,256
613,1237
614,287
615,1280
616,457
617,1379
618,365
619,1
620,256
621,646
622,886
623,1069
624,256
625,547
626,547
627,946
628,457
629,995
630,995
631,886
632,1
633,673
634,200
635,365
636,1123
637,547
638,64
639,838
640,1069
641,287
642,287
643,702
644,200
645,256
646,547
647,886
648,256
649,785
650,256
651,702
652,702
653,1280
654,547
655,673
656,365
657,1172
658,886
659,1069
660,547
661,1280
662,1143
663,200
664,673
665,547
666,525
667,457
668,946
669,785
670,702
671,1172
672,1280
673,457
674,1379
675,1280
676,1379
677,64
678,547
679,1
680,1280
681,457
682,287
683,838
684,622
685,1237
686,287
687,1054
688,1237
689,200
690,1069
691,702
692,439
693,702
694,256
695,673
696,439
697,365
698,702
699,838
700,702
701,200
702,838
703,1069
704,1280
705,138
706,365
707,886
708,646
709,365
710,785
711,1280
712,1280
713,457
714,64
715,646
716,886
717,287
718,365
719,1280
720,1379
721,1143
722,886
723,365
724,946
725,138
726,1379
727,64
728,995
729,64
730,673
731,138
732,1352
733,1280
734,1280
735,64
736,1
737,547
738,1280
739,946
740,995
741,1280
742,646
743,702
744,1172
745,1123
746,547
747,64
748,946
749,547
750,1054
751,838
752,1143
753,1069
754,439
755,646
756,673
757,547
758,785
759,1
760,886
761,1172
762,64
763,287
764,457
765,200
766,1143
767,138
768,1379
769,1280
770,200
771,547
772,702
773,1069
774,838
775,1172
776,1172
777,1069
778,499
779,1069
780,1172
781,995
782,1172
783,1069
784,838
785,200
786,287
787,1
788,1069
789,1379
790,256
791,1280
792,1237
793,200
794,64
795,1054
796,785
797,838
798,673
799,886
800,200
801,838
802,1379
803,785
804,525
805,64
806,1
807,200
808,200
809,1123
810,646
811,365
812,138
813,365
814,64
815,256
816,1172
817,673
818,1069
819,138
820,1352
821,1069
822,838
823,646
824,1
825,886
826,702
827,1
828,995
829,622
830,365
831,256
832,1054
833,673
834,287
835,995
836,256
837,256
838,365
839,785
840,785
841,138
842,1143
843,1054
844,886
845,64
846,1352
847,457
848,702
849,785
850,1280
851,287
852,138
853,1143
854,64
855,1280
856,838
857,200
858,646
859,547
860,1069
861,200
862,525
863,1069
864,64
865,1172
866,1379
867,1143
868,457
869,1172
870,499
871,525
872,138
873,785
874,256
875,547
876,365
877,785
878,995
879,287
880,1280
881,457
882,1237
883,946
884,457
885,838
886,457
887,138
888,673
889,138
890,1
891,838
892,886
893,457
894,547
