,GiftId,trip_id
423,424,1
575,576,1
1126,1127,1
678,679,1
438,439,1
1064,1065,1
1233,1234,1
178,179,1
1063,1064,1
451,452,1
1380,1381,1
326,327,1
299,300,1
216,217,1
1059,1060,1
786,787,1
331,332,1
1073,1074,1
952,953,1
602,603,1
1122,1123,1
119,120,1
1093,1094,1
975,976,1
735,736,1
889,890,1
1065,1066,1
521,522,1
475,476,1
172,173,1
1478,1479,1
631,632,1
588,589,1
542,543,1
1050,1051,1
1479,1480,1
1146,1147,1
425,426,1
986,987,1
1597,1598,1
288,289,1
1362,1363,1
1067,1068,1
0,1,1
37,38,1
139,140,1
203,204,1
278,279,1
463,464,1
618,619,1
758,759,1
805,806,1
823,824,1
826,827,1
911,912,1
922,923,1
963,964,1
976,977,1
1022,1023,1
1035,1036,1
1049,1050,1
1250,1251,1
1289,1290,1
1357,1358,1
1428,1429,1
1443,1444,1
1536,1537,1
2204,2205,2
2353,2354,2
3263,3264,2
1840,1841,2
2519,2520,2
1901,1902,2
2459,2460,2
2325,2326,2
2760,2761,2
1800,1801,2
1756,1757,2
2911,2912,2
2120,2121,2
2903,2904,2
1616,1617,2
2791,2792,2
3257,3258,2
2554,2555,2
2648,2649,2
1988,1989,2
1986,1987,2
2579,2580,2
2856,2857,2
2764,2765,2
3270,3271,2
2737,2738,2
2426,2427,2
3157,3158,2
2355,2356,2
2829,2830,2
3146,3147,2
2739,2740,2
3107,3108,2
2170,2171,2
1965,1966,2
2129,2130,2
1824,1825,2
2661,2662,2
3279,3280,2
3041,3042,2
2400,2401,2
1871,1872,2
2070,2071,2
2802,2803,2
1818,1819,2
3275,3276,2
2634,2635,2
2096,2097,2
1621,1622,2
1682,1683,2
1811,1812,2
1886,1887,2
1948,1949,2
1963,1964,2
1989,1990,2
2000,2001,2
2058,2059,2
2154,2155,2
2246,2247,2
2291,2292,2
2343,2344,2
2368,2369,2
2448,2449,2
2467,2468,2
2659,2660,2
2665,2666,2
2732,2733,2
2755,2756,2
2766,2767,2
2824,2825,2
2828,2829,2
2901,2902,2
2957,2958,2
3000,3001,2
3004,3005,2
3110,3111,2
3131,3132,2
3161,3162,2
3216,3217,2
3400,3401,3
3768,3769,3
4375,4376,3
3791,3792,3
3377,3378,3
4706,4707,3
3672,3673,3
4921,4922,3
4352,4353,3
4742,4743,3
4358,4359,3
4209,4210,3
3875,3876,3
4614,4615,3
4397,4398,3
3889,3890,3
3415,3416,3
4722,4723,3
4825,4826,3
4302,4303,3
3651,3652,3
3555,3556,3
4786,4787,3
4389,4390,3
3941,3942,3
4500,4501,3
4931,4932,3
4318,4319,3
3425,3426,3
4274,4275,3
4781,4782,3
4583,4584,3
4156,4157,3
3583,3584,3
4743,4744,3
3570,3571,3
3759,3760,3
4748,4749,3
4772,4773,3
3857,3858,3
3732,3733,3
3389,3390,3
3403,3404,3
3486,3487,3
3587,3588,3
3612,3613,3
3869,3870,3
4090,4091,3
4146,4147,3
4178,4179,3
4236,4237,3
4257,4258,3
4265,4266,3
4339,4340,3
4374,4375,3
4387,4388,3
4412,4413,3
4518,4519,3
4528,4529,3
4652,4653,3
4732,4733,3
4741,4742,3
4935,4936,4
5846,5847,4
6078,6079,4
5478,5479,4
6594,6595,4
6000,6001,4
5479,5480,4
6492,6493,4
5490,5491,4
5817,5818,4
6163,6164,4
5099,5100,4
5731,5732,4
6073,6074,4
6189,6190,4
6279,6280,4
5825,5826,4
6631,6632,4
5692,5693,4
6110,6111,4
6044,6045,4
4936,4937,4
6023,6024,4
6127,6128,4
5914,5915,4
4977,4978,4
5742,5743,4
6076,6077,4
6200,6201,4
6274,6275,4
5274,5275,4
5321,5322,4
4941,4942,4
5029,5030,4
6339,6340,4
5433,5434,4
6502,6503,4
5830,5831,4
